Hour number,Solar,Wind,SolarTracking
840,0.084602168,0,0
841,0.057282803,0,0
842,0.075168919,0,0
843,0.103295574,0,0
844,0.124755576,0.000599823,0.000599531
845,0.208705616,0.096867355,0.095622591
846,0.635102578,0.315554007,0.430692132
847,0.896237784,0.539487401,0.662641124
848,0.927334188,0.703645136,0.769972091
849,0.93,0.817046328,0.83307504
850,0.926936235,0.867436954,0.868181089
851,0.926228294,0.855965343,0.895549567
852,0.918450113,0.768525627,0.907448581
853,0.912436423,0.636015575,0.93533438
854,0.914755455,0.436733155,0.936825287
855,0.917806486,0.212816542,0.46584572
856,0.892592813,0.045338992,0
857,0.910087961,0,0
858,0.91190953,0,0
859,0.886244981,0,0
860,0.815607593,0,0
861,0.681748111,0,0
862,0.54537429,0,0
863,0.350296524,0,0
864,0.191183485,0,0
865,0.104506927,0,0
866,0.070765446,0,0
867,0.056685954,0,0
868,0.055320556,0.000603741,0.000603449
869,0.065923422,0.103986217,0.110722984
870,0.122784664,0.324284683,0.454120942
871,0.650633301,0.543585345,0.672308975
872,0.799231584,0.704672681,0.771574534
873,0.878697369,0.818950649,0.835169235
874,0.821437482,0.864273114,0.86500179
875,0.794167313,0.850643405,0.889544642
876,0.76606465,0.775639291,0.914502983
